business_status,geometry,name,place_id,rating,types,user_ratings_total,vicinity,permanently_closed,place_type
38,OPERATIONAL,"{'location': {'lat': 20.6829864, 'lng': -105.2788791}, 'viewport': {'northeast': {'lat': 20.6841895302915, 'lng': -105.2774457197085}, 'southwest': {'lat': 20.68149156970849, 'lng': -105.2801436802915}}}",Quinto at Vidanta Nuevo Vallarta,ChIJXw4LFiFEIYQRLxQqxtPnTuo,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",15.0,"Boulevard Riviera Nayarit #254, Nuevo Vallarta",,restaurant
39,OPERATIONAL,"{'location': {'lat': 20.69972379999999, 'lng': -105.2759277}, 'viewport': {'northeast': {'lat': 20.7009765802915, 'lng': -105.2746490697085}, 'southwest': {'lat': 20.6982786197085, 'lng': -105.2773470302915}}}",Red Rooster Cafe,ChIJMVE8bYVGIYQRykc3MGgPO28,4.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",16.0,"Avenida Mexico 352, Las Jarretaderas",,restaurant
40,OPERATIONAL,"{'location': {'lat': 20.6828842, 'lng': -105.2788647}, 'viewport': {'northeast': {'lat': 20.6841296802915, 'lng': -105.2774558197085}, 'southwest': {'lat': 20.6814317197085, 'lng': -105.2801537802915}}}",Quinto Charcoal Cuisine,ChIJLc4mviVEIYQRnH1PcZbmEZc,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",132.0,Nuevo Vallarta,,restaurant
41,OPERATIONAL,"{'location': {'lat': 20.6914761, 'lng': -105.2784972}, 'viewport': {'northeast': {'lat': 20.6928250802915, 'lng': -105.2771482197085}, 'southwest': {'lat': 20.6901271197085, 'lng': -105.2798461802915}}}",Taquería (La Esquina),ChIJM-Tf3qBHIYQRnOZe0umIRg4,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,"Prolongacion Independencia, Las Jarretaderas",,restaurant
42,OPERATIONAL,"{'location': {'lat': 20.688064, 'lng': -105.2759125}, 'viewport': {'northeast': {'lat': 20.6894408302915, 'lng': -105.2745764697085}, 'southwest': {'lat': 20.6867428697085, 'lng': -105.2772744302915}}}",El Sazón de Chalia,ChIJPzOWtupFIYQRydmPrE865UE,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,"Avenida Emiliano Zapata Sur 76, Costa Coral, Las Jarretaderas",,restaurant
43,OPERATIONAL,"{'location': {'lat': 20.69335749999999, 'lng': -105.2733011}, 'viewport': {'northeast': {'lat': 20.6947161302915, 'lng': -105.2719227697085}, 'southwest': {'lat': 20.69201816970849, 'lng': -105.2746207302915}}}",Tacos El Cuate,ChIJ654dxoNGIYQRIzeP8dE_EMc,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,"Avenida Mexico, Las Jarretaderas",,restaurant
44,OPERATIONAL,"{'location': {'lat': 20.6225929, 'lng': -105.2232518}, 'viewport': {'northeast': {'lat': 20.6240033302915, 'lng': -105.2219331197085}, 'southwest': {'lat': 20.62130536970849, 'lng': -105.2246310802915}}}",Slovensko,ChIJg4HBRV5FIYQRO2rZGa7r_Dc,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",11.0,"Río de La Plata 220, Puerto Vallarta",,restaurant
45,OPERATIONAL,"{'location': {'lat': 20.6236886, 'lng': -105.2212749}, 'viewport': {'northeast': {'lat': 20.6249746802915, 'lng': -105.2198980697085}, 'southwest': {'lat': 20.62227671970849, 'lng': -105.2225960302915}}}",Antojitos mexicanos los ponce's,ChIJtV1hMVdFIYQRa1A5VuvOipw,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,"Río de La Plata 321, López Mateos, Puerto Vallarta",,restaurant
46,OPERATIONAL,"{'location': {'lat': 20.6234478, 'lng': -105.221784}, 'viewport': {'northeast': {'lat': 20.6247737302915, 'lng': -105.2203818697085}, 'southwest': {'lat': 20.62207576970849, 'lng': -105.2230798302915}}}",Crepas Erika,ChIJgy1F0T9FIYQRs2hyODNveT0,,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",,"Río Grijalva 573A, López Mateos, Puerto Vallarta",,restaurant
47,OPERATIONAL,"{'location': {'lat': 20.6233781, 'lng': -105.221397}, 'viewport': {'northeast': {'lat': 20.62477648029151, 'lng': -105.2200698697085}, 'southwest': {'lat': 20.6220785197085, 'lng': -105.2227678302915}}}",Que Pollazo,ChIJB8M_x19FIYQR1sdjjoO2dok,3.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",10.0,Mexico,,restaurant
48,OPERATIONAL,"{'location': {'lat': 20.623176, 'lng': -105.2215549}, 'viewport': {'northeast': {'lat': 20.6245381302915, 'lng': -105.2201768197085}, 'southwest': {'lat': 20.62184016970849, 'lng': -105.2228747802915}}}",Taqueria Don beto,ChIJc9VsHB5FIYQRTtC-3ShZ2go,3.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",5.0,"Río Grijalva 627, Agua Azul, Puerto Vallarta",,restaurant
49,OPERATIONAL,"{'location': {'lat': 20.6235663, 'lng': -105.2209749}, 'viewport': {'northeast': {'lat': 20.6249542302915, 'lng': -105.2196431697085}, 'southwest': {'lat': 20.6222562697085, 'lng': -105.2223411302915}}}",Marisquería La Joyita,ChIJYY_bwV9FIYQRyFXV3WgZUJk,4.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",10.0,"48340, Río de La Plata 334, López Mateos, Puerto Vallarta",,restaurant
50,OPERATIONAL,"{'location': {'lat': 20.6230818, 'lng': -105.2213966}, 'viewport': {'northeast': {'lat': 20.6244874302915, 'lng': -105.2201253697085}, 'southwest': {'lat': 20.6217894697085, 'lng': -105.2228233302915}}}",Tacos El Flako,ChIJbU5huV9FIYQRja-tf4L2uUM,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",36.0,"Río Grijalva 627, López Mateos, Puerto Vallarta",,restaurant
51,OPERATIONAL,"{'location': {'lat': 20.623044, 'lng': -105.2215981}, 'viewport': {'northeast': {'lat': 20.6244130302915, 'lng': -105.2202046197085}, 'southwest': {'lat': 20.6217150697085, 'lng': -105.2229025802915}}}",Gringo Burger,ChIJKTqZYmhFIYQRHlCkqKvuIAY,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",36.0,"Avenida, Libramiento Luis Donaldo Colosio 667-1, López Mateos, Puerto Vallarta",,restaurant
52,OPERATIONAL,"{'location': {'lat': 20.6230376, 'lng': -105.2215979}, 'viewport': {'northeast': {'lat': 20.6244072302915, 'lng': -105.2202031697085}, 'southwest': {'lat': 20.6217092697085, 'lng': -105.2229011302915}}}",Waterchile,ChIJBasB8_xFIYQR29ndePFJE2Q,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,"Libramiento Luis Donaldo Colosio 667, López Mateos, Puerto Vallarta",,restaurant
53,OPERATIONAL,"{'location': {'lat': 20.6237283, 'lng': -105.2208333}, 'viewport': {'northeast': {'lat': 20.6250928802915, 'lng': -105.2194912197085}, 'southwest': {'lat': 20.6223949197085, 'lng': -105.2221891802915}}}",Tacos Arrieros Tan Tan,ChIJs8yN6V9FIYQRG1K0nXbO9XE,4.8,"['restaurant', 'food', 'point_of_interest', 'establishment']",93.0,"Río de La Plata 341-343, López Mateos, Puerto Vallarta",,restaurant
54,OPERATIONAL,"{'location': {'lat': 20.6228926, 'lng': -105.2215912}, 'viewport': {'northeast': {'lat': 20.6242462302915, 'lng': -105.2203055697085}, 'southwest': {'lat': 20.6215482697085, 'lng': -105.2230035302915}}}",Taco Del Mar,ChIJme6HSWJFIYQRM6w8nqjCHmQ,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,"Avenida, Libramiento Luis Donaldo Colosio Local 2, López Mateos, Puerto Vallarta",,restaurant
55,OPERATIONAL,"{'location': {'lat': 20.6237013, 'lng': -105.2204699}, 'viewport': {'northeast': {'lat': 20.6250346802915, 'lng': -105.2191623197085}, 'southwest': {'lat': 20.6223367197085, 'lng': -105.2218602802915}}}",Tejuino,ChIJp5ym7l9FIYQRq6N2lL7e8Qo,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,"Río Ameca 605, López Mateos, Puerto Vallarta",,restaurant
56,OPERATIONAL,"{'location': {'lat': 20.6236395, 'lng': -105.2204361}, 'viewport': {'northeast': {'lat': 20.6249716802915, 'lng': -105.2191316697085}, 'southwest': {'lat': 20.6222737197085, 'lng': -105.2218296302915}}}","Pollería ""ARAMBUL"" Pollo Fresco",ChIJ4UbVvAhFIYQRbSNvMEsi7xU,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,"Río Ameca 615, López Mateos, Puerto Vallarta",,restaurant
