rating_x,user_ratings_total_x,num_restaurants,rest_mean_rating,num_bars,bars_mean_rating,num_art_galleries,art_gallery_mean_rating,num_gyms,gyms_mean_rating,num_shopping,shopping_mean_rating,num_tourist_attract,tourist_mean_rating,num_casinos,num_supermarkets,supermarkets_mean_rating
48,4.6,1809.0,32,4.373076923076924,9,4.4,5,4.5,6,4.7,3,4.766666666666667,3,4.4,0,1,4.6
49,4.6,2656.0,45,4.402857142857143,12,4.377777777777778,5,4.5,7,4.7,3,4.766666666666667,3,4.4,0,1,4.6
50,4.4,1197.0,60,4.369387755102041,21,4.377777777777776,6,4.5,8,4.7,5,4.675000000000002,4,4.475,0,2,4.8
51,5.0,20.0,60,4.3519999999999985,27,4.4173913043478255,7,4.5200000000000005,10,4.775,8,4.683333333333334,4,4.449999999999998,0,3,4.6000000000000005
52,4.5,10.0,60,4.398,26,4.404545454545455,7,4.5200000000000005,9,4.775,7,4.683333333333334,3,4.4,0,3,4.6000000000000005
53,4.4,70.0,60,4.393877551020409,22,4.389473684210526,6,4.5,8,4.7,6,4.62,3,4.4,0,2,4.8
54,4.5,13.0,60,4.393877551020409,27,4.4173913043478255,7,4.5200000000000005,9,4.775,7,4.683333333333334,4,4.449999999999998,0,3,4.6000000000000005
55,4.4,20.0,50,4.410256410256411,12,4.4,5,4.5,8,4.7,3,4.766666666666667,3,4.4,0,1,4.6
56,4.2,12.0,57,4.4261904761904765,8,4.328571428571428,0,4.76062109252212,2,4.5,3,3.95,0,4.589234597010132,0,2,4.1
57,4.6,122.0,52,4.413157894736842,8,4.285714285714286,0,4.76062109252212,1,4.5,2,4.5,0,4.589234597010132,0,2,4.35
58,5.0,1.0,51,4.418918918918919,7,4.283333333333333,0,4.76062109252212,1,4.5,3,3.95,0,4.589234597010132,0,1,4.1
59,4.3,39.0,53,4.21875,11,4.0625,0,4.76062109252212,7,4.1,7,4.375,6,4.466666666666666,3,4,4.125
60,4.4,1906.0,60,4.367857142857143,13,4.2,0,4.76062109252212,6,3.98,8,4.3,6,4.466666666666667,2,5,4.2200000000000015
61,4.7,23.0,60,4.2625,12,3.975,1,4.76062109252212,7,3.96,8,4.12,6,4.333333333333333,5,7,4.25
62,3.6,18.0,60,4.324561403508771,14,4.1000000000000005,1,4.76062109252212,9,4.071428571428571,9,4.3,6,4.466666666666666,2,6,4.28
63,4.7,150.0,60,4.326785714285714,15,4.118181818181818,1,4.76062109252212,11,4.366666666666666,11,4.414285714285715,6,4.333333333333333,5,6,4.2
64,4.4,1267.0,60,4.267857142857142,13,4.0777777777777775,1,4.76062109252212,8,4.133333333333334,8,4.3,6,4.333333333333333,5,6,4.2
65,5.0,31.0,60,4.332142857142856,16,4.141666666666667,1,4.76062109252212,13,4.2799999999999985,11,4.414285714285715,6,4.333333333333333,5,7,4.2
66,4.6,10.0,60,4.326315789473684,15,4.181818181818183,1,4.76062109252212,9,4.071428571428571,9,4.3,6,4.466666666666667,2,6,4.2200000000000015
67,4.4,3585.0,60,4.274545454545455,18,4.40625,0,4.76062109252212,5,4.3599999999999985,13,4.199999999999998,2,4.75,2,3,4.05
68,3.9,4784.0,51,4.4173913043478255,20,4.266666666666668,0,4.76062109252212,2,4.35,8,4.3599999999999985,6,4.466666666666667,3,3,3.95
69,4.3,502.0,60,4.269642857142856,21,4.449999999999998,0,4.76062109252212,5,4.36,14,4.2,2,4.75,2,4,4.05
70,4.2,1151.0,60,4.252830188679245,19,4.4375,0,4.76062109252212,6,4.45,14,4.2,2,4.75,2,5,4.05
